date,revenue
2011-01-29,81652.12
2011-01-30,78971.7
2011-01-31,57708.086
2011-02-01,60762.145
2011-02-02,46961.473
2011-02-03,69378.83
2011-02-04,68790.66
2011-02-05,93450.34
2011-02-06,83499.28
2011-02-07,65166.492
2011-02-08,60880.496
2011-02-09,60410.223
2011-02-10,62743.426
2011-02-11,71985.91
2011-02-12,92587.66
2011-02-13,100765.83
2011-02-14,59730.22
2011-02-15,64279.547
2011-02-16,58986.527
2011-02-17,57189.844
2011-02-18,67469.09
2011-02-19,87652.3
2011-02-20,81370.7
2011-02-21,65548.62
2011-02-22,55381.875
2011-02-23,55071.58
2011-02-24,53987.38
2011-02-25,61778.25
2011-02-26,81840.49
2011-02-27,79452.72
2011-02-28,58795.76
2011-03-01,62541.246
2011-03-02,59997.62
2011-03-03,64519.195
2011-03-04,64022.5
2011-03-05,86245.125
2011-03-06,94307.234
2011-03-07,66984.945
2011-03-08,61247.402
2011-03-09,58773.312
2011-03-10,60105.734
2011-03-11,68116.945
2011-03-12,85664.79
2011-03-13,85981.18
2011-03-14,65842.98
2011-03-15,62553.035
2011-03-16,60077.01
2011-03-17,57510.086
2011-03-18,64847.87
2011-03-19,83448.26
2011-03-20,81527.07
2011-03-21,61369.934
2011-03-22,54605.406
2011-03-23,51682.45
2011-03-24,50469.84
2011-03-25,62775.11
2011-03-26,80262.24
2011-03-27,81246.56
2011-03-28,57508.08
2011-03-29,52571.785
2011-03-30,50143.58
2011-03-31,55982.117
2011-04-01,74381.69
2011-04-02,90660.54
2011-04-03,89122.85
2011-04-04,66060.69
2011-04-05,62549.15
2011-04-06,60211.81
2011-04-07,60591.812
2011-04-08,66804.14
2011-04-09,86149.34
2011-04-10,85082.914
2011-04-11,66610.99
2011-04-12,61562.04
2011-04-13,57038.92
2011-04-14,58825.992
2011-04-15,68676.27
2011-04-16,83059.766
2011-04-17,83618.5
2011-04-18,61272.402
2011-04-19,54793.777
2011-04-20,56721.56
2011-04-21,56466.875
2011-04-22,69573.54
2011-04-23,84173.27
2011-04-24,136556.2
2011-04-25,56343.65
2011-04-26,50792.504
2011-04-27,50878.23
2011-04-28,51953.52
2011-04-29,64545.516
2011-04-30,80649.86
2011-05-01,81348.086
2011-05-02,63048.51
2011-05-03,66280.11
